General information,,time (s),O2 (%),DPT (Pa),CO (%),CO2 (%),PDM (-),PDC (-),Mass (g),Methane MFM (slpm),APT (kPa),HFM (kW/m2),Cold Trap TC (K),Stack TC (K),Smoke TC (K),Cone Heater TC (K),Spare TC (K),Soot MFM (g/s)

Test,,0,20.95019412,102.441996,0.00087848,0.05022,1.03921,1.043087,6.652,-0.0041,0,0,-1,329.182,332.316,1041.499,0,0
Standard used,ASTM E 1354,1,20.95011141,106.106464,0.00088016,0.04936328,1.040567,1.043732,6.652,-0.0013,0,0,-1,329.281,332.353,1041.505,0,0
Date of test,22/11/2024,2,20.95002871,109.770932,0.00088183,0.04850656,1.041923,1.044376,6.652,0.0015,0,0,-1,329.38,332.39,1041.51,0,0
Time of test,12:36:29,3,20.95002176,106.178645,0.00077291,0.04849975,1.040537,1.044977,6.652,0.0015,0,0,-1,329.284,332.367,1041.475,0,0
Heat flux (kW/m²),50,4,20.9504271,110.984757,0.0007712,0.04919367,1.040527,1.045516,6.652,0.0007,0,0,-1,329.279,332.298,1041.495,0,0
Nominal duct flow rate (l/s),24,5,20.95108076,108.518378,0.0007726,0.04927886,1.045075,1.046085,6.652,-0.0009,0,0,-1,329.276,332.348,1041.403,0,0
Sampling interval (s),1,6,20.95113954,110.867845,0.00077122,0.0492706,1.046725,1.046675,6.652,-0.0004,0,0,-1,329.248,332.29,1041.425,0,0
Separation (mm),25,7,20.95101412,106.080438,0.00077363,0.04926611,1.04699,1.047167,6.652,-0.001,0,0,-1,329.273,332.315,1041.385,0,0
Orientation,Horizontal,8,20.95000188,104.714018,0.0007706,0.04929402,1.045049,1.04739,6.652,-0.0014,0,0,-1,329.212,332.261,1041.424,0,0
Edge frame?,No,9,20.94992403,106.140397,0.00077301,0.04930016,1.041171,1.04769,6.652,0.0013,0,0,-1,329.277,332.288,1041.494,0,0
Grid?,No,10,20.949894,104.563658,0.00087164,0.04930383,1.047883,1.048092,6.652,0.0013,0,0,-1,329.232,332.3,1041.48,0,0
Non-scrubbed?,Yes,11,20.94989145,103.351046,0.00087812,0.04928992,1.049168,1.048514,6.652,0.0012,0,0,-1,329.259,332.266,1041.535,0,0
Substrate used? {Y/N},No,12,20.95097351,107.661922,0.00087788,0.04847056,1.051628,1.048947,6.652,-0.0006,0,0,-1,329.262,332.342,1041.553,0,0
Substrate,none,13,20.95064493,105.873624,0.00077765,0.04842058,1.051104,1.049446,6.652,-0.0009,0,0,-1,329.212,332.266,1041.582,0,0
Additional specimen preparation details,70 mm insulation backing.Thin strip of insulation on sides. Al foil pan. Conditioned in dessicator,14,20.95080951,104.067654,0.0007721,0.04852694,1.047536,1.049695,6.652,0.0013,0,0,-1,329.281,332.285,1041.584,0,0
,,15,20.95073581,102.849571,0.0006956,0.04844711,1.049571,1.049983,6.652,-0.0001,0,0,-1,329.205,332.278,1041.576,0,0
Specimen,,16,20.95072796,106.389906,0.00076049,0.0485111,1.048759,1.050312,6.652,0.0001,0,0,-1,329.247,332.243,1041.561,0,0
Sample description,Douglas-Fir-Leaf6-FCD2024Hamins_q50_H_R1,17,20.95089186,106.445037,0.00076389,0.04836329,1.05229,1.050551,6.652,0.0016,0,0,-1,329.239,332.3,1041.489,0,0
Material name/ID,Douglas-Fir-Leaf6,18,20.95080754,105.029023,0.00077266,0.04844481,1.055184,1.051135,6.652,-0.0007,0,0,-1,329.228,332.247,1041.496,0,0
Specimen number,,19,20.95078087,105.34243,0.00076053,0.04848584,1.052912,1.05167,6.652,-0.0007,0,0,-1,329.258,332.308,1041.493,0,0
E (MJ/kg),13.1,20,20.95098793,108.688275,0.00076786,0.04841435,1.051761,1.052055,6.652,-0.0019,0,0,-1,329.188,332.251,1041.494,0,0
Initial mass (g),5.52,21,20.94999195,108.116385,0.0007695,0.0492268,1.048612,1.052517,6.652,-0.0007,0,0,-1,329.246,332.243,1041.485,0,0
Thickness (mm),22,22,20.94859604,108.125168,0.00076924,0.04928842,1.046564,1.052564,6.652,0.0001,0,0,-1,329.157,332.224,1041.472,0,0
Surface area (cm²),100,23,20.94852184,107.21168,0.00069095,0.04928485,1.055804,1.052711,6.652,-0.0013,0,0,-1,329.153,332.139,1041.463,0,0
Sponsor,,24,20.94858454,105.084439,0.00075812,0.04929852,1.054639,1.052946,6.652,0.0009,0,0,-1,329.151,332.187,1041.466,0,0
Manufacturer,,25,20.94882496,107.078115,0.00069627,0.04928481,1.057364,1.053151,6.652,0.0003,0,0,-1,329.117,332.14,1041.471,0,0
Test start time (s),127,26,20.94884605,109.667837,0.0005853,0.04932834,1.054646,1.052885,6.652,-0.0024,0,0,-1,329.165,332.173,1041.479,0,0
Time to ignition (s),5,27,20.94875881,105.994183,0.00067039,0.04928102,1.04909,1.052951,6.652,0.0009,0,0,-1,329.079,332.136,1041.458,0,0
Time to flameout (s),45,28,20.94863409,105.475541,0.00068308,0.04931241,1.051666,1.053151,6.652,-0.0016,0,0,-1,329.149,332.146,1041.49,0,0
End of test criterion,ASTM E 1354,29,20.95007135,104.060228,0.00068538,0.04922045,1.053755,1.053376,6.652,-0.0013,0,0,-1,329.119,332.178,1041.466,0,0
User EOT time (s),,30,20.9502043,106.077958,0.00068525,0.04928677,1.055087,1.05366,6.652,-0.0008,0,0,-1,329.125,332.138,1041.508,0,0
MLR EOT mass (g/m²),150,31,20.9487162,109.26005,0.00068557,0.05035268,1.055737,1.053754,6.652,-0.0008,0,0,-1,329.143,332.172,1041.497,0,0
MLR EOT time period (s),60,32,20.94870741,112.014369,0.00068585,0.05043568,1.050116,1.05376,6.652,-0.0007,0,0,-1,329.065,332.089,1041.503,0,0
Truncate graphs at EOT?,No,33,20.94872606,109.654721,0.00068557,0.04941201,1.051211,1.053659,6.652,-0.0003,0,0,-1,329.108,332.11,1041.45,0,0
Smooth data?,No,34,20.94872712,104.27452,0.0006849,0.04927927,1.052404,1.053681,6.652,0.0006,0,0,-1,329.069,332.131,1041.424,0,0
Correct O2 for pressure?,No,35,20.95620585,106.44789,0.00068328,0.04937272,0.966891,1.053407,6.652,0.0016,0,0,-1,329.162,332.14,1041.449,0,0
,,36,20.95677989,110.475429,0.00068072,0.04926123,1.039911,1.053711,6.652,0.0011,0,0,-1,329.15,332.195,1041.486,0,0
Specifications: apparatus,,37,20.97200246,106.081932,0.00068452,0.04931962,1.048488,1.053886,6.652,0.0015,0,0,-1,329.133,332.139,1041.526,0,0
C-factor (SI units),0.042904,38,20.97336594,107.997437,0.00068637,0.04925846,1.052533,1.053298,6.652,0.0024,0,0,-1,329.179,332.192,1041.53,0,0
OD correction factor,1,39,20.9524669,108.48463,0.00076176,0.04926937,1.052731,1.0529,6.652,0.001,0,0,-1,329.1,332.146,1041.527,0,0
Duct diameter (m),0.114,40,20.95090917,110.783127,0.00069061,0.04926654,1.050628,1.052496,6.652,0,0,0,-1,329.158,332.151,1041.56,0,0
O2 delay time (s),13,41,20.9509015,108.567751,0.00068772,0.04931801,1.057894,1.052243,6.652,-0.0021,0,0,-1,329.106,332.178,1041.528,0,0
CO2 delay time (s),13,42,20.95155775,105.239861,0.00076004,0.04930479,1.057869,1.052104,6.652,0,0,0,-1,329.137,332.122,1041.556,0,0
CO delay time (s),13,43,20.95144907,102.738526,0.00076766,0.04934948,1.055077,1.051965,6.652,-0.0007,0,0,-1,329.139,332.174,1041.55,0,0
,,44,20.95143377,104.926427,0.00076221,0.04854524,1.052227,1.05183,6.652,-0.0004,0,0,-1,329.104,332.136,1041.588,0,0
Laboratory,,45,20.95172073,107.65371,0.00076148,0.04835667,1.045154,1.051643,6.652,-0.0021,0,0,-1,329.163,332.182,1041.595,0,0
Laboratory name,Cone Lab,46,20.95094773,105.279687,0.00076671,0.04845844,1.050258,1.051813,6.652,0.0005,0,0,-1,329.094,332.135,1041.574,0,0
Operator,Ickchan Kim,47,20.95143531,108.817032,0.00068625,0.04854446,1.054674,1.051945,6.652,0.0004,0,0,-1,329.138,332.116,1041.583,0,0
Filename,C:\CC5\DATA\24110038.CSV,48,20.95168268,108.318953,0.00068371,0.04733825,1.053282,1.052004,6.652,-0.0006,0,0,-1,329.11,332.153,1041.534,0,0
Report name,FCD2024Hamins,49,20.95170271,110.419952,0.00068042,0.04738677,1.055301,1.05169,6.652,0.0006,0,0,-1,329.08,332.055,1041.546,0,0
,,50,20.95177319,106.954393,0.00058039,0.04739994,1.048891,1.051504,6.652,0.0008,0,0,-1,329.075,332.09,1041.507,0,0
