Exported data
Parameter,Value,Time (s),HRR (kW/m²),EHC (MJ/kg),SEA (m²/kg),MLR (g/s),Specific MLR (g/s·m²),COY (kg/kg),CO2Y (kg/kg),THR (MJ/m²),MFR (g/s),k (1/m),V stack (l/s),V smoke (l/s),SPR (m²/s),RSR ((m²/s)/m²),TSP (m²),TSR (m²/m²),COP (g/s),CO2P (g/s),O2C (g/s),TOC (g),ARHE(kW/m²),Specimen mass (g),Oxygen (%),DPT (Pa),CO (%),CO2 (%),PDM (-),PDC (-),APT (kPa),Cold Trap TC (K),Stack TC (K),Smoke TC (K),Cone Heater TC (K),Soot MFM (g/s),Spare TC (K),HFM (kW/m²)
Peaks,,0,132.829494081659,0,0,-0.0759722499999977,-7.59722499999977,0,0,0,24.6130304214974,-0.0244485262848813,22.931015840664,23.1367383020803,-0.00056565915452483,-0.056565915452483,0,0,0.000101193683993062,0.00395018386317079,0.0822183945621405,0,0,5.52,20.6469779,108.291045,0.00111438,0.0589704,1.005299,1.002501,0,-1,329.047,331.999,1042.04,0,0,0
peak HRR (kW/m²),517.375006802047,1,252.679330663577,17.5656460987215,-6.39339392468771,0.143848583333333,14.3848583333333,0.00168341257635389,0.0777949645147666,0.192754412372618,24.4416401425466,-0.0400274467823887,22.7749366985918,22.9762508650166,-0.000919680658758262,-0.0919680658758262,0,0,0.000242156514274023,0.0111906954359161,0.157705336893272,0.119961865727706,192.754412372618,5.461069,20.36531104,106.805025,0.00171372,0.07853995,1.005989,1.001409,0,-1,329.099,332.008,1042.038,0,0,0
peak EHC (MJ/kg),76.1029583425463,2,372.088740662847,25.7109559784974,-11.8436019185533,0.144719916666666,14.4719916666666,0.00299646621193771,0.133247954195237,0.50513844803583,24.6952074341601,-0.07381923063056,23.0089754466821,23.2189507807824,-0.0017140050826862,-0.17140050826862,0,0,0.000433648340486107,0.0192836328271385,0.233767485975826,0.315698277162255,252.569224017915,5.305286,20.09252311,109.021994,0.00250501,0.09979751,1.009298,1.00084,0,-1,329.067,332.07,1041.783,0,0,0
peak MLR (g/s),0.312342666666667,3,408.569645075357,43.0732255389323,-10.350334548758,0.0948546666666665,9.48546666666665,0.00812321334967362,0.388501550879845,0.895467640904931,24.6636286531754,-0.0423389994801491,22.9837428667881,23.1884915932232,-0.00098177753351092,-0.098177753351092,0,0,0.000770524694545507,0.0368511851081907,0.259468974183327,0.562316507241832,298.489213634977,5.190636,19.99710382,108.763178,0.0039197,0.14673919,1.004981,1.000142,0,-1,329.127,332.059,1041.639,0,0,0
peak SEA (m²/kg),1068.70084193553,4,449.628765913521,31.5078451626899,5.21962678351004,0.14270375,14.270375,0.00655734355248806,0.347935326107752,1.32456684639937,24.5563073580017,0.0322523644807366,22.887694554158,23.0947506516058,0.000744860315607322,0.0744860315607322,0.000372430157803661,0.0372430157803661,0.000935757514978369,0.0496516757930491,0.287380413629363,0.835741201148177,331.141711599843,5.093175,19.89006193,107.837366,0.00462959,0.18147404,0.995782,0.99945,0,-1,329.184,332.162,1041.441,0,0,0
peak COY (kg/kg),0.867881723724815,5,483.332353764115,24.7053802684091,9.00355065254015,0.1956385,19.56385,0.00525584762788892,0.327843154558911,1.79104740623819,23.9451318869295,0.0782209189368693,22.3162181993951,22.5187989130964,0.00176144114433698,0.176144114433698,0.00162558088777581,0.162558088777581,0.00102824614614875,0.0641387429931736,0.311037273960985,1.13495004494335,358.209481247638,4.902437,19.77360139,102.527884,0.00512956,0.22468648,0.989387,0.998249,0,-1,329.157,332.145,1041.252,0,0,0
peak CO2Y (kg/kg),14.0043092023484,6,517.375006802047,25.2945431322152,26.168271740833,0.204540166666666,20.4540166666666,0.00621505882684122,0.438851663084067,2.29140108652127,25.6565950533472,0.221767814725182,23.9211353631365,24.1354349362256,0.00535246266324858,0.535246266324858,0.00518253279156859,0.518253279156859,0.00127122916828524,0.0897627923091585,0.336045893579392,1.45849162871354,381.900181086878,4.712139,19.76380296,117.756522,0.00581265,0.27865459,0.972394,0.997291,0,-1,329.293,332.243,1041.26,0,0,0
,,7,445.237814305478,19.306820888166,49.6554216551965,0.230611666666667,23.0611666666667,0.00530956315701558,0.388993042761487,2.77270749707503,22.0313249185046,0.551294547076049,20.5615456549146,20.771327428641,0.011451119546941,1.1451119546941,0.0135843238966634,1.35843238966634,0.00122444720891129,0.0897063339129646,0.291048295317529,1.772038723162,396.101071010719,4.49001,19.75359114,86.916161,0.00643614,0.31637312,0.93629,0.997022,0,-1,329.621,332.984,1041.406,0,0,0
Time To Peaks,,8,432.552304447614,16.2632754580233,45.0614341655504,0.26596875,26.596875,0.00535810713503192,0.420505114618657,3.21160255645158,21.9229452244923,0.577144426366623,20.5439458844617,20.7659171096378,0.0119849333182187,1.19849333182187,0.0253023503292432,2.53023503292432,0.00142508905707052,0.111841219703731,0.286290159132374,2.06070795038695,401.450319556447,4.248241,19.76732474,86.41456,0.00741091,0.38414457,0.932975,0.996424,0,-1,330.967,334.543,1041.62,0,0,0
t peak HRR (s),6,9,417.791481235848,13.3760618007951,53.5730672513881,0.312342666666667,31.2342666666667,0.00507643282178029,0.409762429227826,3.63677444929331,21.7913641148354,0.805784716441704,20.516399798181,20.7662845241143,0.0167331546868112,1.67331546868112,0.0396613943317582,3.96613943317582,0.00158558656470905,0.12798628984483,0.279357778224567,2.34353191906542,404.086049921479,3.958593,19.7889821,85.780729,0.00821308,0.43493036,0.908121,0.995492,0,-1,332.519,336.569,1041.68,0,0,0
t peak EHC (s),42,10,411.104106821067,16.9594838425601,66.4888092476919,0.242403666666667,24.2403666666667,0.00722554319259256,0.615287405993223,4.05122224332176,22.2315048058602,0.756267203328764,21.0296142808848,21.3114241672789,0.0161171311539411,1.61171311539411,0.0560865372521344,5.60865372521344,0.00175149816354281,0.149147923266579,0.278173213451178,2.62229741490329,405.122224332176,3.652428,19.81677763,89.702455,0.00883581,0.4899214,0.913049,0.99526,0,-1,334.089,338.566,1041.737,0,0,0
t peak MLR (s),9,11,372.181836478627,20.1024256406814,95.5869550590693,0.18514275,18.514275,0.00993640187587181,0.874049165253853,4.44286521497161,21.0610760064425,0.871155575669256,20.0160843303633,20.3146627514458,0.0176972317237625,1.76972317237625,0.0729937186909862,7.29937186909862,0.00183965276840407,0.161823866090303,0.255670483590702,2.88921926342423,403.896837724692,3.471618,19.8505472,80.884227,0.00972135,0.55406673,0.900436,0.994451,0,-1,335.659,340.666,1041.732,0,0,0
t peak SEA (s),56,12,360.264876934388,16.7847016003343,78.1383982195261,0.214638833333333,21.4638833333333,0.00952216919359991,0.854412493936149,4.80908857167812,21.3019593323915,0.811537481767955,20.3310237981737,20.6663709430121,0.0167715346323745,1.67715346323745,0.0902281018690547,9.02281018690547,0.00204382728651689,0.183390100883879,0.251347813096134,3.14272841176765,400.757380973177,3.261285,19.88133961,83.096544,0.01061031,0.61497568,0.905995,0.993813,0,-1,337.085,342.645,1041.642,0,0,0
t peak COY (s),42,13,339.013979675848,17.5976623763399,93.0810515670591,0.192647166666666,19.2647166666666,0.0115798487473182,1.05956633726601,5.15872799998324,21.3371245312822,0.86147824373747,20.4537569507119,20.8151523095369,0.0179318008547478,1.79318008547478,0.107579769612616,10.7579769612616,0.0022308250515994,0.204122452769675,0.241091458570375,3.38894804760091,396.825230767941,3.051162,19.92660783,83.73618,0.01150018,0.67798712,0.900276,0.993178,0,-1,338.561,344.543,1041.539,0,0,0
t peak CO2Y (s),42,14,339.369722944173,15.0685158227614,88.8959105396898,0.22521775,22.521775,0.0107590328443303,1.01430785206305,5.49791985129325,21.7519728300473,0.938846170934541,20.9263834062426,21.325045120034,0.0200209369559502,2.00209369559502,0.126556138517965,12.6556138517965,0.00242312516937618,0.228440132248972,0.244898809078266,3.63194318142523,392.708560806661,2.864446,19.93027,87.336743,0.01220814,0.73955298,0.892269,0.993065,0,-1,339.778,346.251,1041.426,0,0,0
,,15,315.819917173254,13.7421052279475,110.5214911689,0.229819166666667,22.9819166666667,0.0114469712227397,1.11498843115596,5.82551467135196,22.0950540601814,1.16836983054734,21.3172512178371,21.7396549749107,0.025399956999194,2.5399956999194,0.149266585495537,14.9266585495537,0.00263073338726735,0.256245712091237,0.234297383480713,3.87154127770472,388.367644756797,2.608672,19.98952273,90.37128,0.01300087,0.81164062,0.868614,0.992367,0,-1,340.75,347.502,1041.336,0,0,0
Test Results (between 5 and 61 s),,16,308.131338350071,20.2950087666095,156.16693113042,0.151826166666667,15.1826166666667,0.0185234489603417,1.80581161928378,6.13749029911362,22.0179403880607,1.08879902280139,21.3276988713635,21.7764950345238,0.0237102265136289,2.37102265136289,0.173821677251948,17.3821677251948,0.00281234424909434,0.274169455877982,0.232204674454609,4.10479230667238,383.593143694601,2.423978,19.99476408,90.100013,0.01389689,0.86788685,0.875183,0.990843,0,-1,342.111,349.31,1041.172,0,0,0
mean HRR (kW/m²),152.433283978407,17,271.654186045054,17.0110176580422,200.346849695887,0.159693083333334,15.9693083333334,0.0180456585751706,1.73185678532415,6.42738306131119,21.728878703534,1.48333398300888,21.1066995641251,21.5689834727293,0.0319940061640562,3.19940061640562,0.201673793590791,20.1673793590791,0.0028817668586496,0.276565549940169,0.209896016544317,4.32584265217184,378.081356547717,2.285248,20.07499386,87.995772,0.01440296,0.88604554,0.836692,0.990843,0,-1,343.07,350.584,1041.26,0,0,0
mean EHC (MJ/kg),15.5741454969758,18,274.677385850974,15.1673689286839,162.230642793285,0.181097583333333,18.1097583333333,0.0166482803044537,1.55567202325378,6.7005488472592,22.1667635019992,1.3306631726332,21.5925494553086,22.0788986700059,0.0293795773524771,2.93795773524771,0.232360585349058,23.2360585349058,0.00301496332979249,0.281728443870536,0.212571902914245,4.53707661190112,372.252713736622,2.098968,20.08133922,91.835453,0.01475339,0.88482678,0.85141,0.990876,0,-1,344.034,351.783,1041.347,0,0,0
mean MLR (g/s),0.0982151666666666,19,257.316312018856,13.2897932294452,170.525880680932,0.1936195,19.36195,0.0157536269216445,1.41550603049854,6.96654569619411,22.0670484739857,1.49766472562701,21.5424652922801,22.0457457463846,0.0330171357545018,3.30171357545018,0.263558941902547,26.3558941902547,0.00305020936775536,0.274069569872113,0.200682769440297,4.74370394807839,366.66029979969,1.924909,20.12618318,91.210285,0.0149821,0.86576529,0.834715,0.990118,0,-1,344.787,352.842,1041.363,0,0,0
mean SEA (m²/kg),174.061752719565,20,235.211495672464,11.5735367845705,171.687971054875,0.203232166666667,20.3232166666667,0.0150437390027647,1.31280651424277,7.21280960003977,21.9648953981887,1.58593126012278,21.4919961079963,22.0012803993693,0.0348925183480863,3.48925183480863,0.297513768953841,29.7513768953841,0.00305737167229971,0.266804512303672,0.185915129309611,4.93700289745335,360.640480001989,1.714437,20.18320972,90.575357,0.01508229,0.84779928,0.8261,0.989809,0,-1,345.579,353.768,1041.385,0,0,0
mean COY (kg/kg),0.0356351913222513,21,225.432325196679,14.8962943146922,241.17519626708,0.1513345,15.13345,0.0204696554073744,1.727351599706,7.44313151047435,22.1159088002348,1.64315998572265,21.684092368295,22.2121570976722,0.0364981277394803,3.64981277394803,0.333209091997624,33.3209091997624,0.00309776506624729,0.261407890665708,0.179076835507754,5.11949887986203,354.434833832112,1.532434,20.21642798,92.013214,0.01517287,0.82628205,0.820097,0.989048,0,-1,346.287,354.72,1041.325,0,0,0
mean CO2Y (kg/kg),1.33256852796529,22,220.61316438192,14.1519013348834,220.644826726034,0.155889416666667,15.5889416666667,0.0193178560514095,1.56566987205097,7.66615425526365,21.5024499744508,1.58937112859429,21.1204190795076,21.6413855203603,0.0343961933288391,3.43961933288391,0.368656252531784,36.8656252531784,0.00301144931110487,0.2440713630466,0.173501571094795,5.2957880831633,348.461557057438,1.397954,20.21898719,87.135402,0.015171,0.79541431,0.824941,0.988808,0,-1,346.908,355.465,1041.3,0,0,0
Total heat release (MJ/m²),8.5362639027908,23,212.313148073332,9.80206931383602,164.210227843657,0.216600333333333,21.6600333333333,0.0139540381311282,1.09784134103853,7.88261741149127,21.5722038172937,1.6346022947691,21.2260088137517,21.7594152421663,0.0355679900876786,3.55679900876786,0.403638344240043,40.3638344240043,0.00302244931054841,0.237792800416059,0.167438551998026,5.46625814470972,342.722496151794,1.209059,20.24678819,87.855108,0.0151769,0.7738448,0.820763,0.988886,0,-1,347.515,356.248,1041.248,0,0,0
Total oxygen consumed (g),6.44637442063348,24,206.353868727506,15.2798314247585,245.504437515418,0.135049833333333,13.5049833333333,0.0227212501827557,1.73401262342471,8.09195091989169,21.9074679057048,1.49765982458286,21.5851700488444,22.1380935943085,0.0331553333690509,3.31553333690509,0.438000005968408,43.8000005968408,0.00306850105030613,0.234178115791403,0.163230595236361,5.63159271832691,337.164621662154,0.99811,20.27492537,90.73019,0.01517255,0.75188439,0.833402,0.98856,0,-1,347.987,356.901,1041.223,0,0,0
Mass lost (g),5.481048,25,173.433688023481,21.8120372212638,465.013474751809,0.0795128333333334,7.95128333333334,0.038781157640933,2.84848035520635,8.28184469826718,22.1243640062385,1.65113423385299,21.8320758982341,22.3934179048625,0.0369745389156948,3.69745389156948,0.473064942110781,47.3064942110781,0.00308359972397724,0.226490743736797,0.141774936537398,5.78409548421379,331.273787930687,0.932885999999999,20.36931456,92.676578,0.01510113,0.72212123,0.818646,0.988196,0,-1,348.517,357.478,1041.189,0,0,0
Average specific MLR (g/s·m²),16.8647630769231,26,167.205492034503,11.4349978110657,241.452623535231,0.146222583333333,14.6222583333333,0.0203333764903512,1.44256756031593,8.45216428829618,21.4629062519381,1.62285384183998,21.2008693143876,21.7553950058145,0.0353058263659322,3.53058263659322,0.509205124751594,50.9205124751594,0.00297319883830842,0.210935955302259,0.135575715489475,5.92277081022722,325.083241857545,0.809167999999999,20.37758255,87.306456,0.0150134,0.69518938,0.8205,0.987246,0,-1,348.871,357.996,1041.128,0,0,0
Total smoke release (m²/m²),95.4040821620069,27,137.509404957228,8.6573697744502,275.886291795328,0.158835083333333,15.8835083333333,0.019196263472892,1.30902369084379,8.60452173679204,22.3419108233375,1.93260517892016,22.0960272372958,22.6742754421883,0.0438204221478352,4.38204221478352,0.548768249008478,54.8768249008478,0.00304904010840542,0.207918887020481,0.116880923907411,6.04899912992567,318.685990251557,0.651676999999999,20.47581497,94.719342,0.01480085,0.66085578,0.792115,0.987349,0,-1,349.296,358.437,1041.169,0,0,0
